combo,agent,train_size,skill_mode,issue,repo,has_patch,has_agent_log,has_eval,outcome,report_tail
openhands_40,openhands,40,with,issue-1686,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,without,issue-1686,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,with,issue-1221,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,without,issue-1221,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,with,issue-2899,crewAIInc/crewAI,False,True,False,,
openhands_40,openhands,40,without,issue-2899,crewAIInc/crewAI,False,True,False,,
openhands_40,openhands,40,with,issue-2163,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,without,issue-2163,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,with,issue-1890,agentscope-ai/agentscope,False,True,False,,
openhands_40,openhands,40,without,issue-1890,agentscope-ai/agentscope,False,True,False,,
openhands_40,openhands,40,with,issue-974,strands-agents/sdk-python,False,False,False,,
openhands_40,openhands,40,without,issue-974,strands-agents/sdk-python,False,False,False,,
openhands_40,openhands,40,with,issue-2007,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,without,issue-2007,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,with,issue-196,agentscope-ai/agentscope,True,True,True,error,"git apply failed:
error: corrupt patch at line 43"
mini-swe-agent_60,mini-swe-agent,60,without,issue-196,agentscope-ai/agentscope,True,True,True,error,"git apply failed:
error: corrupt patch at line 55"
mini-swe-agent_60,mini-swe-agent,60,with,issue-1280,agentscope-ai/agentscope,True,True,True,error,"git apply failed:
error: corrupt patch at line 11"
mini-swe-agent_60,mini-swe-agent,60,without,issue-1280,agentscope-ai/agentscope,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,with,issue-3654,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: strands-py/src/strands/models/_openai_bedrock.py: No such file or directory
error: strands-ts/src/models/openai/mantle.ts: No such file or directory"
mini-swe-agent_60,mini-swe-agent,60,without,issue-3654,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: strands-ts/src/models/openai/mantle.ts: No such file or directory"
mini-swe-agent_60,mini-swe-agent,60,with,issue-1817,agentscope-ai/agentscope,True,True,True,error,"git apply failed:
error: patch failed: src/agentscope/workspace/_local_workspace.py:0
error: src/agentscope/workspace/_local_workspace.py: patch does not apply"
mini-swe-agent_60,mini-swe-agent,60,without,issue-1817,agentscope-ai/agentscope,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,with,issue-1705,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: corrupt patch at line 11"
mini-swe-agent_60,mini-swe-agent,60,without,issue-1705,strands-agents/harness-sdk,True,True,True,error,
mini-swe-agent_60,mini-swe-agent,60,with,issue-831,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,without,issue-831,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,with,issue-1793,agentscope-ai/agentscope,True,True,True,error,"git apply failed:
error: corrupt patch at line 9"
mini-swe-agent_60,mini-swe-agent,60,without,issue-1793,agentscope-ai/agentscope,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,with,issue-3226,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: patch with only garbage at line 4"
mini-swe-agent_60,mini-swe-agent,60,without,issue-3226,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,with,issue-2177,agentscope-ai/agentscope,True,True,True,error,"git apply failed:
error: corrupt patch at line 23"
mini-swe-agent_60,mini-swe-agent,60,without,issue-2177,agentscope-ai/agentscope,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,with,issue-3425,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,without,issue-3425,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: corrupt patch at line 8"
mini-swe-agent_60,mini-swe-agent,60,with,issue-1686,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: src/strands/agent/agent.py: already exists in working directory"
mini-swe-agent_60,mini-swe-agent,60,without,issue-1686,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: src/strands/agent/agent.py: No such file or directory"
mini-swe-agent_60,mini-swe-agent,60,with,issue-2205,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: No valid patches in input (allow with ""--allow-empty"")"
mini-swe-agent_60,mini-swe-agent,60,without,issue-2205,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,with,issue-1197,strands-agents/harness-sdk,True,True,True,f2f,"--- Phase A: docker build (before patch) ---
--- Phase B: run test in container (expect failure for fail2pass) ---
test command exit code: 4
--- Phase C: git apply patch ---
--- Phase D: docker build "
mini-swe-agent_60,mini-swe-agent,60,without,issue-1197,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,with,issue-2133,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,without,issue-2133,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,with,issue-1381,agentscope-ai/agentscope,False,False,False,,
mini-swe-agent_60,mini-swe-agent,60,without,issue-1381,agentscope-ai/agentscope,False,False,False,,
mini-swe-agent_60,mini-swe-agent,60,with,issue-1334,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,without,issue-1334,strands-agents/harness-sdk,True,True,True,error,
mini-swe-agent_60,mini-swe-agent,60,with,issue-1461,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: corrupt patch at line 33"
mini-swe-agent_60,mini-swe-agent,60,without,issue-1461,strands-agents/harness-sdk,True,True,True,error,
mini-swe-agent_60,mini-swe-agent,60,with,issue-1892,agentscope-ai/agentscope,True,True,True,error,"git apply failed:
error: corrupt patch at line 12"
mini-swe-agent_60,mini-swe-agent,60,without,issue-1892,agentscope-ai/agentscope,True,True,True,error,
mini-swe-agent_60,mini-swe-agent,60,with,issue-88,agentscope-ai/agentscope,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,without,issue-88,agentscope-ai/agentscope,False,True,False,,
mini-swe-agent_60,mini-swe-agent,60,with,issue-3150,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: No valid patches in input (allow with ""--allow-empty"")"
mini-swe-agent_60,mini-swe-agent,60,without,issue-3150,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: strands-py/src/strands/agent/agent.py: No such file or directory
error: strands-py/src/strands/interrupt.py: No such file or directory"
openhands_60,openhands,60,with,issue-1890,agentscope-ai/agentscope,False,True,False,,
openhands_60,openhands,60,without,issue-1890,agentscope-ai/agentscope,False,True,False,,
openhands_60,openhands,60,with,issue-2652,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,without,issue-2652,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,with,issue-1965,agentscope-ai/agentscope,False,True,False,,
openhands_60,openhands,60,without,issue-1965,agentscope-ai/agentscope,False,True,False,,
openhands_60,openhands,60,with,issue-2163,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,without,issue-2163,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,with,issue-1058,agentscope-ai/agentscope,False,True,False,,
openhands_60,openhands,60,without,issue-1058,agentscope-ai/agentscope,False,True,False,,
openhands_60,openhands,60,with,issue-1190,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,without,issue-1190,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,with,issue-256,strands-agents/harness-sdk,False,False,False,,
openhands_60,openhands,60,without,issue-256,strands-agents/harness-sdk,False,False,False,,
openhands_60,openhands,60,with,issue-2122,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,without,issue-2122,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,with,issue-1686,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,without,issue-1686,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,with,issue-529,strands-agents/harness-sdk,False,False,False,,
openhands_60,openhands,60,without,issue-529,strands-agents/harness-sdk,False,False,False,,
openhands_60,openhands,60,with,issue-1197,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,without,issue-1197,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,with,issue-1260,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,without,issue-1260,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,with,issue-1714,agentscope-ai/agentscope,False,False,False,,
openhands_60,openhands,60,without,issue-1714,agentscope-ai/agentscope,False,False,False,,
openhands_60,openhands,60,with,issue-579,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,without,issue-579,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,with,issue-1702,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,without,issue-1702,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,with,issue-2000,agentscope-ai/agentscope,False,True,False,,
openhands_60,openhands,60,without,issue-2000,agentscope-ai/agentscope,False,True,False,,
openhands_60,openhands,60,with,issue-2235,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,without,issue-2235,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,with,issue-1892,agentscope-ai/agentscope,False,True,False,,
openhands_60,openhands,60,without,issue-1892,agentscope-ai/agentscope,False,True,False,,
openhands_60,openhands,60,with,issue-362,strands-agents/harness-sdk,False,False,False,,
openhands_60,openhands,60,without,issue-362,strands-agents/harness-sdk,False,False,False,,
openhands_60,openhands,60,with,issue-1221,strands-agents/harness-sdk,False,True,False,,
openhands_60,openhands,60,without,issue-1221,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_80,mini-swe-agent,80,with,issue-1020,strands-agents/harness-sdk,True,True,True,f2f,"            ^^^^^^^^^^^^^^^^^^^^^^^^^
INTERNALERROR>   File ""/usr/local/lib/python3.12/site-packages/botocore/args.py"", line 265, in compute_client_args
INTERNALERROR>     endpoint_config = self._comp"
mini-swe-agent_80,mini-swe-agent,80,without,issue-1020,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: corrupt patch at line 11"
mini-swe-agent_80,mini-swe-agent,80,with,issue-831,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_80,mini-swe-agent,80,without,issue-831,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: No valid patches in input (allow with ""--allow-empty"")"
mini-swe-agent_80,mini-swe-agent,80,with,issue-2405,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_80,mini-swe-agent,80,without,issue-2405,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_80,mini-swe-agent,80,with,issue-2173,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: corrupt patch at line 12"
mini-swe-agent_80,mini-swe-agent,80,without,issue-2173,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: corrupt patch at line 45"
mini-swe-agent_80,mini-swe-agent,80,with,issue-1208,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_80,mini-swe-agent,80,without,issue-1208,strands-agents/harness-sdk,True,True,True,error,
mini-swe-agent_80,mini-swe-agent,80,with,issue-2205,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_80,mini-swe-agent,80,without,issue-2205,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_80,mini-swe-agent,80,with,issue-2235,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: patch failed: src/strands/models/ollama.py:268
error: src/strands/models/ollama.py: patch does not apply"
mini-swe-agent_80,mini-swe-agent,80,without,issue-2235,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: corrupt patch at line 7"
mini-swe-agent_80,mini-swe-agent,80,with,issue-1714,agentscope-ai/agentscope,False,False,False,,
mini-swe-agent_80,mini-swe-agent,80,without,issue-1714,agentscope-ai/agentscope,False,False,False,,
mini-swe-agent_80,mini-swe-agent,80,with,issue-509,strands-agents/harness-sdk,False,False,False,,
mini-swe-agent_80,mini-swe-agent,80,without,issue-509,strands-agents/harness-sdk,False,False,False,,
mini-swe-agent_80,mini-swe-agent,80,with,issue-3422,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: src/strands/models/llamacpp.py: already exists in working directory"
mini-swe-agent_80,mini-swe-agent,80,without,issue-3422,strands-agents/harness-sdk,True,True,True,f2f,"            ^^^^^^^^^^^^^^^^^^^^^^^^^
INTERNALERROR>   File ""/usr/local/lib/python3.12/site-packages/botocore/args.py"", line 265, in compute_client_args
INTERNALERROR>     endpoint_config = self._comp"
mini-swe-agent_80,mini-swe-agent,80,with,issue-2210,strands-agents/harness-sdk,True,True,True,error,
mini-swe-agent_80,mini-swe-agent,80,without,issue-2210,strands-agents/harness-sdk,True,True,True,error,
mini-swe-agent_80,mini-swe-agent,80,with,issue-1158,strands-agents/harness-sdk,True,True,True,f2f,"            ^^^^^^^^^^^^^^^^^^^^^^^^^
INTERNALERROR>   File ""/usr/local/lib/python3.12/site-packages/botocore/args.py"", line 265, in compute_client_args
INTERNALERROR>     endpoint_config = self._comp"
mini-swe-agent_80,mini-swe-agent,80,without,issue-1158,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: corrupt patch at line 13"
mini-swe-agent_80,mini-swe-agent,80,with,issue-2266,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_80,mini-swe-agent,80,without,issue-2266,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: corrupt patch at line 30"
mini-swe-agent_80,mini-swe-agent,80,with,issue-1006,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_80,mini-swe-agent,80,without,issue-1006,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: strands/agent/agent.py: No such file or directory"
mini-swe-agent_80,mini-swe-agent,80,with,issue-362,strands-agents/harness-sdk,False,False,False,,
mini-swe-agent_80,mini-swe-agent,80,without,issue-362,strands-agents/harness-sdk,False,False,False,,
mini-swe-agent_80,mini-swe-agent,80,with,issue-1525,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: corrupt patch at line 48"
mini-swe-agent_80,mini-swe-agent,80,without,issue-1525,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: patch failed: src/strands/tools/decorator.py:304
error: src/strands/tools/decorator.py: patch does not apply"
mini-swe-agent_80,mini-swe-agent,80,with,issue-1432,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_80,mini-swe-agent,80,without,issue-1432,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_80,mini-swe-agent,80,with,issue-256,strands-agents/harness-sdk,False,False,False,,
mini-swe-agent_80,mini-swe-agent,80,without,issue-256,strands-agents/harness-sdk,False,False,False,,
mini-swe-agent_80,mini-swe-agent,80,with,issue-1334,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: patch failed: src/strands/tools/mcp/mcp_client.py:800
error: src/strands/tools/mcp/mcp_client.py: patch does not apply"
mini-swe-agent_80,mini-swe-agent,80,without,issue-1334,strands-agents/harness-sdk,True,True,True,error,"git apply failed:
error: strands_agents/mcp_client.py: No such file or directory"
mini-swe-agent_80,mini-swe-agent,80,with,issue-1545,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_80,mini-swe-agent,80,without,issue-1545,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-1705,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-1705,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-3654,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-3654,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-1067,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-1067,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-1160,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-1160,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-1210,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-1210,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-2089,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-2089,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-3548,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-3548,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-1221,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-1221,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-337,strands-agents/harness-sdk,False,False,False,,
openhands_80,openhands,80,without,issue-337,strands-agents/harness-sdk,False,False,False,,
openhands_80,openhands,80,with,issue-3493,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-3493,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-2090,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-2090,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-1689,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-1689,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-1702,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-1702,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,with,issue-1820,strands-agents/harness-sdk,False,True,False,,
openhands_80,openhands,80,without,issue-1820,strands-agents/harness-sdk,False,True,False,,
